phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
1029384,http://www.filmbaz.net/files/misc/,http://www.phishtank.com/phish_detail.php?phish_id=1029384,2010-08-06T08:03:12+00:00,yes,2010-08-06T18:05:37+00:00,yes,PayPal
1029378,http://steampowerd.hut2.ru/,http://www.phishtank.com/phish_detail.php?phish_id=1029378,2010-08-06T07:36:54+00:00,yes,2010-08-07T01:20:23+00:00,yes,Steam
1029262,http://itemqqptzuk.pisem.su/SellerTypemdZTrailershashCars_Motorcycles-VehiclesQc=1&LH_SellerTypeitemZ230467390574=Automobiles_UK.html,http://www.phishtank.com/phish_detail.php?phish_id=1029262,2010-08-05T21:20:26+00:00,yes,2010-08-06T02:50:55+00:00,yes,PayPal
1029256,http://www.tigersurvey.com/survey.php?survey=16907,http://www.phishtank.com/phish_detail.php?phish_id=1029256,2010-08-05T20:49:51+00:00,yes,2010-08-06T21:12:03+00:00,yes,Other
1029229,http://traderdemo.dotser.com/application/api/cart.paypal.websitepaymentsstandard.notify.php,http://www.phishtank.com/phish_detail.php?phish_id=1029229,2010-08-05T19:33:10+00:00,yes,2010-08-05T21:20:56+00:00,yes,PayPal
1029216,http://dedemansales.krovatka.su/Cars_Motorcycles-VehiclesQc=1&LH_SellerTypeitemZ230467390574=Automobiles_UK.html,http://www.phishtank.com/phish_detail.php?phish_id=1029216,2010-08-05T19:03:08+00:00,yes,2010-08-06T02:52:30+00:00,yes,PayPal
1029160,http://www.linkzor.com/form15434,http://www.phishtank.com/phish_detail.php?phish_id=1029160,2010-08-05T16:11:25+00:00,yes,2010-08-06T02:51:59+00:00,yes,Other
1029102,http://midwesthorse.com.au/includes/js/calendar/online.html,http://www.phishtank.com/phish_detail.php?phish_id=1029102,2010-08-05T12:45:09+00:00,yes,2010-08-05T16:56:18+00:00,yes,"HSBC Group"
1029022,http://www.dancingknox.com/u/webscr.php,http://www.phishtank.com/phish_detail.php?phish_id=1029022,2010-08-05T05:10:10+00:00,yes,2010-08-05T12:13:00+00:00,yes,PayPal
1028954,http://suntopcyprus.com/img/in.php,http://www.phishtank.com/phish_detail.php?phish_id=1028954,2010-08-04T23:54:53+00:00,yes,2010-08-05T07:06:40+00:00,yes,"HSBC Group"
1028808,http://buxrover.com/paypal.fr/web-scr_cmd-__login-submit=88d4d/,http://www.phishtank.com/phish_detail.php?phish_id=1028808,2010-08-04T12:54:28+00:00,yes,2010-08-04T22:33:41+00:00,yes,PayPal
1028793,http://fly2.ws/RTe4_uK,http://www.phishtank.com/phish_detail.php?phish_id=1028793,2010-08-04T11:45:16+00:00,yes,2010-08-04T22:26:25+00:00,yes,PayPal
1028792,http://keralalakezephyr.com/menufiles/logon.ibc.customer.php,http://www.phishtank.com/phish_detail.php?phish_id=1028792,2010-08-04T11:43:45+00:00,yes,2010-08-04T19:58:50+00:00,yes,Other
1028705,http://telycafe.com/,http://www.phishtank.com/phish_detail.php?phish_id=1028705,2010-08-04T04:25:13+00:00,yes,2010-08-04T10:58:51+00:00,yes,PayPal
1028688,http://bit.ly/dCJp7n,http://www.phishtank.com/phish_detail.php?phish_id=1028688,2010-08-04T03:25:14+00:00,yes,2010-08-04T06:11:53+00:00,yes,PayPal
1028679,http://www.cadastroamex.com.br/,http://www.phishtank.com/phish_detail.php?phish_id=1028679,2010-08-04T02:30:34+00:00,yes,2010-08-04T11:05:46+00:00,yes,Other
1028665,http://dl.dropbox.com/u/1618/attachments/beth-wilch.html,http://www.phishtank.com/phish_detail.php?phish_id=1028665,2010-08-04T01:51:14+00:00,yes,2010-08-04T11:02:01+00:00,yes,PayPal
1028625,http://www.johnymasas.gr/compte/personnel/,http://www.phishtank.com/phish_detail.php?phish_id=1028625,2010-08-03T22:16:15+00:00,yes,2010-08-03T23:30:28+00:00,yes,PayPal
1028619,http://automobilesmarket.krovatka.su/Automobiles_Cars-Motorcycles-VehiclesQc=1&LH_SellerTypeitemZ230467390574=Automobiles_UK.html,http://www.phishtank.com/phish_detail.php?phish_id=1028619,2010-08-03T21:57:05+00:00,yes,2010-08-04T01:00:15+00:00,yes,PayPal
1028603,http://automobilesuk.krovatka.su/Automobiles_UKTitleDesc35a8ed4c6eQCars-Motorcycles-VehiclesQc=1&LH_SellerTypeitemZ230467390574=Automobiles_UK.html,http://www.phishtank.com/phish_detail.php?phish_id=1028603,2010-08-03T20:52:11+00:00,yes,2010-08-04T00:51:43+00:00,yes,PayPal
1028531,http://1939.com/?sov=facebok.com,http://www.phishtank.com/phish_detail.php?phish_id=1028531,2010-08-03T16:18:24+00:00,yes,2010-08-03T21:01:54+00:00,yes,Facebook
1028509,http://webmail.tech-co.net/logs/.a.htm,http://www.phishtank.com/phish_detail.php?phish_id=1028509,2010-08-03T15:01:44+00:00,yes,2010-08-03T16:21:47+00:00,yes,PayPal
1028349,http://www.mehrdadkowsari.com/reservation/ar/paypaltestpay.aspx,http://www.phishtank.com/phish_detail.php?phish_id=1028349,2010-08-03T02:30:19+00:00,yes,2010-08-03T06:26:04+00:00,yes,PayPal
1027912,http://www.banco237novo.h1.ru/BradescoDiaeNoite/index.php?atualiza,http://www.phishtank.com/phish_detail.php?phish_id=1027912,2010-08-02T15:20:11+00:00,yes,2010-08-02T16:29:04+00:00,yes,Bradesco
1027910,http://www.banco237novo.h1.ru/BradescoDiaeNoite/index2.php,http://www.phishtank.com/phish_detail.php?phish_id=1027910,2010-08-02T15:19:52+00:00,yes,2010-08-02T16:29:04+00:00,yes,Bradesco
1027897,http://www.bradesco.com.br.bit.ly/d7N88f,http://www.phishtank.com/phish_detail.php?phish_id=1027897,2010-08-02T14:44:05+00:00,yes,2010-08-02T17:48:19+00:00,yes,Bradesco
1027877,http://www.mindanaotimes.net/wp-includes/images/index.php,http://www.phishtank.com/phish_detail.php?phish_id=1027877,2010-08-02T14:06:13+00:00,yes,2010-08-02T23:23:07+00:00,yes,Other
1027862,http://www.dobbsdogs.com/catalog/media/cgi-bin/,http://www.phishtank.com/phish_detail.php?phish_id=1027862,2010-08-02T13:30:21+00:00,yes,2010-08-02T17:01:37+00:00,yes,PayPal
1027849,http://www.zsbavorov.cz/components/indexs.html,http://www.phishtank.com/phish_detail.php?phish_id=1027849,2010-08-02T13:05:15+00:00,yes,2010-08-02T17:03:43+00:00,yes,Other
1027802,http://repforceplus.com.au/wp-includes/pomo/,http://www.phishtank.com/phish_detail.php?phish_id=1027802,2010-08-02T09:30:21+00:00,yes,2010-08-02T17:41:02+00:00,yes,Other
1027801,http://repforceplus.com.au/wp-includes/pomo,http://www.phishtank.com/phish_detail.php?phish_id=1027801,2010-08-02T09:30:20+00:00,yes,2010-08-02T17:52:32+00:00,yes,Other
1027767,http://www.worldofwarcraft.character-restore.com,http://www.phishtank.com/phish_detail.php?phish_id=1027767,2010-08-02T05:59:02+00:00,yes,2010-08-03T02:03:43+00:00,yes,Other
1027768,http://www.worldofwarcraft.character-restore.com/splash-sc2launch.htm,http://www.phishtank.com/phish_detail.php?phish_id=1027768,2010-08-02T05:59:02+00:00,yes,2010-08-02T23:14:51+00:00,yes,Other
1027766,http://wow-europe.invest-security.com/splash-sc2launch.htm,http://www.phishtank.com/phish_detail.php?phish_id=1027766,2010-08-02T05:58:52+00:00,yes,2010-08-03T01:13:20+00:00,yes,Other
1027765,http://wow-europe.invest-security.com,http://www.phishtank.com/phish_detail.php?phish_id=1027765,2010-08-02T05:58:51+00:00,yes,2010-08-03T01:18:29+00:00,yes,Other
1027764,http://us.battle.blizzard-support-confirm.com,http://www.phishtank.com/phish_detail.php?phish_id=1027764,2010-08-02T05:58:41+00:00,yes,2010-08-04T18:29:19+00:00,yes,Other
1027721,http://www.esbuys.net/test.php,http://www.phishtank.com/phish_detail.php?phish_id=1027721,2010-08-02T04:08:12+00:00,yes,2010-08-02T11:42:52+00:00,yes,PayPal
1027665,http://minoltaltd.com/,http://www.phishtank.com/phish_detail.php?phish_id=1027665,2010-08-01T22:12:43+00:00,yes,2010-08-02T01:23:03+00:00,yes,Other
1027533,http://get-games.coi.li/games/,http://www.phishtank.com/phish_detail.php?phish_id=1027533,2010-08-01T12:58:54+00:00,yes,2010-08-01T17:05:28+00:00,yes,Steam
1027532,http://get-games.coi.li/justcause2/Login.htm,http://www.phishtank.com/phish_detail.php?phish_id=1027532,2010-08-01T12:58:28+00:00,yes,2010-08-01T17:05:28+00:00,yes,Steam
1027530,http://get-games.coi.li/mw2sp/Login.htm,http://www.phishtank.com/phish_detail.php?phish_id=1027530,2010-08-01T12:57:20+00:00,yes,2010-08-01T17:05:28+00:00,yes,Steam
1027123,http://host-70-45-16-127.onelinkpr.net/tmp/webscr/cgi-bin/ssl.secureonline.account/limitation.html,http://www.phishtank.com/phish_detail.php?phish_id=1027123,2010-07-31T04:35:08+00:00,yes,2010-07-31T13:21:20+00:00,yes,PayPal
1027094,http://static-70-19-112-138.ny325.east.verizon.net/tmp/webscr/cgi-bin/ssl.secureonline.account/limitation.html,http://www.phishtank.com/phish_detail.php?phish_id=1027094,2010-07-31T01:36:14+00:00,yes,2010-07-31T08:13:30+00:00,yes,PayPal
1027081,http://steampowered_com_viewforum258473238.9hz.com/,http://www.phishtank.com/phish_detail.php?phish_id=1027081,2010-07-30T23:04:55+00:00,yes,2010-07-31T08:09:23+00:00,yes,Steam
1027057,http://74.220.199.27/~restaur1/Pay-PaL.com/confirmation4548684645384534/Processing.htm?cmd=_error_login-run&amp;dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af436580c63a156ebffe89e7779ac84ebf634880c63a156ebffe89e7779ac84ebf6348,http://www.phishtank.com/phish_detail.php?phish_id=1027057,2010-07-30T20:07:06+00:00,yes,2010-07-31T01:13:08+00:00,yes,PayPal
1026951,http://haberdashvintage.com/wp-includes/images/index.php,http://www.phishtank.com/phish_detail.php?phish_id=1026951,2010-07-30T13:50:17+00:00,yes,2010-07-30T18:50:35+00:00,yes,Other
